time,Inputshaft_rpm,InputShaft_torque,Propeller_torque,ShipSpeed
0,78.33256056,17358.17096,-0.2601,5
0.001,78.32918633,17357.2459,-0.4559,5
0.002,78.32743789,17356.16625,-0.3576,5
0.003,78.32733328,17354.92741,-0.1131,5
0.004,78.32887124,17353.51796,0.0835,5
0.005,78.33203227,17351.92597,0.1102,5
0.006,78.33677855,17350.14613,-0.1218,5
0.007,78.34305333,17348.1827,-0.8377,5
0.008,78.35078041,17346.04633,-2.3277,5
0.009,78.35986486,17343.74799,-4.6794,5
0.01,78.37019482,17341.29477,-6.6694,5
0.011,78.38164386,17338.69051,-7.0571,5
0.012,78.39407306,17335.9401,-6.4903,5
0.013,78.40733237,17333.05329,-5.7467,5
0.014,78.42126188,17330.04472,-5.0463,5
0.015,78.43569341,17326.93023,-4.5504,5
0.016,78.450453,17323.7225,-4.0891,5
0.017,78.46536385,17320.43015,-3.7996,5
0.018,78.4802491,17317.06121,-3.8814,5
0.019,78.49493365,17313.62855,-4.1338,5
0.02,78.50924522,17310.15295,-4.5163,5
0.021,78.52301528,17306.66099,-5.563,5
0.022,78.5360806,17303.17905,-7.2567,5
0.023,78.54828579,17299.72762,-8.232,5
0.024,78.55948634,17296.32045,-8.1765,5
0.025,78.56955111,17292.96898,-7.9741,5
0.026,78.57836361,17289.68878,-7.645,5
0.027,78.58582219,17286.50301,-6.9818,5
0.028,78.59183994,17283.44027,-5.8997,5
0.029,78.59634501,17280.52869,-4.9474,5
0.03,78.59928195,17277.79045,-5.0258,5
0.031,78.60061329,17275.24065,-5.9191,5
0.032,78.60032074,17272.89016,-7.4658,5
0.033,78.59840556,17270.74948,-10.6149,5
0.034,78.59488812,17268.83,-16.6477,5
0.035,78.5898074,17267.14186,-24.7668,5
0.036,78.58322066,17265.69071,-31.5835,5
0.037,78.57520341,17264.47618,-35.4076,5
0.038,78.56584901,17263.49344,-37.5698,5
0.039,78.55526781,17262.73615,-39.8616,5
0.04,78.54358553,17262.19824,-43.1664,5
0.041,78.53094142,17261.87291,-46.5042,5
0.042,78.51748666,17261.74984,-48.5854,5
0.043,78.50338307,17261.81314,-49.5865,5
0.044,78.48880179,17262.04172,-50.1142,5
0.045,78.4739217,17262.41221,-50.2559,5
0.046,78.45892705,17262.90239,-49.8908,5
0.047,78.44400465,17263.49307,-49.3536,5
0.048,78.42934095,17264.16771,-48.7525,5
0.049,78.4151193,17264.91039,-603.2868,5
0.05,78.40151776,17265.70389,-1229.9196,5
0.051,78.38870718,17266.52898,-1820.5369,5
0.052,78.37684945,17267.36514,-2394.0145,5
0.053,78.36609565,17268.19211,-2893.4055,5
0.054,78.35658406,17268.99155,-3099.3178,5
0.055,78.34843823,17269.74796,-2826.7114,5
0.056,78.34176499,17270.44895,-2080.2809,5
0.057,78.33665288,17271.08493,-914.9936,5
0.058,78.33317079,17271.64843,755.7667,5
0.059,78.33136707,17272.13356,3073.5842,5
0.06,78.33126894,17272.53581,5982.4466,5
0.061,78.33288219,17272.85221,9207.5781,5
0.062,78.33619109,17273.08176,12491.4512,5
0.063,78.34115855,17273.22583,15804.6639,5
0.064,78.3477264,17273.28838,19277.1208,5
0.065,78.355816,17273.27596,22936.8183,5
0.066,78.36532907,17273.1977,26641.8231,5
0.067,78.37614871,17273.06521,30210.8572,5
0.068,78.38814077,17272.8925,33540.5115,5
0.069,78.40115535,17272.69553,36602.3981,5
0.07,78.41502868,17272.49133,39335.6189,5
0.071,78.42958525,17272.29682,41616.8267,5
0.072,78.44464036,17272.12779,43348.4809,5
0.073,78.46001026,17272.02834,44579.5792,5
0.074,78.47529847,17271.99545,45469.5676,5
0.075,78.49049754,17271.99926,46087.8369,5
0.076,78.50542265,17272.08333,46345.3273,5
0.077,78.51988482,17272.26119,46128.4228,5
0.078,78.53325213,17272.60364,45458.8801,5
0.079,78.54564791,17273.06321,44505.8192,5
0.08,78.55752113,17273.58146,43425.8318,5
0.081,78.56827968,17274.21636,42267.5072,5
0.082,78.57779311,17274.96516,41050.9917,5
0.083,78.58594892,17275.82392,39881.9893,5
0.084,78.59265367,17276.79089,38927.8517,5
0.085,78.59783312,17277.86971,38280.1592,5
0.086,78.60143182,17279.07071,37888.7621,5
0.087,78.60341247,17280.40856,37659.8327,5
0.088,78.60375582,17281.89712,37595.9532,5
0.089,78.60246116,17283.54485,37805.7061,5
0.09,78.59954702,17285.35501,38382.5671,5
0.091,78.59505102,17287.3318,39312.2813,5
0.092,78.58902827,17289.48725,40512.2081,5
0.093,78.58154901,17291.84069,41917.7691,5
0.094,78.57269714,17294.40745,43495.0877,5
0.095,78.56257102,17297.18379,45184.395,5
0.096,78.55128596,17300.14159,46877.2717,5
0.097,78.53897586,17303.24023,48478.6678,5
0.098,78.52579158,17306.44759,49975.3992,5
0.099,78.51189613,17309.75168,51417.4672,5
0.1,78.49745965,17313.15092,52822.26,5
0.101,78.48265729,17316.63066,54117.4659,5
0.102,78.46767082,17320.14759,55187.3426,5
0.103,78.45269064,17323.63801,55956.6641,5
0.104,78.4379146,17327.04469,56419.2115,5
0.105,78.42354211,17330.33943,56598.365,5
0.106,78.40976637,17333.52254,56513.3831,5
0.107,78.39676884,17336.60075,56194.0421,5
0.108,78.38471803,17339.56425,55697.4527,5
0.109,78.37377097,17342.38298,55077.7634,5
0.11,78.36407353,17345.02422,54340.2214,5
0.111,78.35575723,17347.47446,53449.4913,5
0.112,78.34893372,17349.74597,52395.8404,5
0.113,78.34369026,17351.86275,51240.5615,5
0.114,78.34008885,17353.83822,50082.9877,5
0.115,78.33816888,17355.66329,48997.9069,5
0.116,78.33795052,17357.31312,48020.8546,5
0.117,78.33943596,17358.76549,47179.2733,5
0.118,78.3426079,17360.01488,46514.8476,5
0.119,78.34742713,17361.07168,46060.1811,5
0.12,78.35383172,17361.94844,45804.2073,5
0.121,78.36173908,17362.64533,45704.8756,5
0.122,78.37104996,17363.14641,45740.7293,5
0.123,78.3816521,17363.42929,45937.4941,5
0.124,78.39342163,17363.48003,46335.9119,5
0.125,78.40622253,17363.30264,46940.3838,5
0.126,78.41990542,17362.91698,47706.9412,5
0.127,78.43430776,17362.34843,48572.4959,5
0.128,78.44925605,17361.61777,49477.9254,5
0.129,78.46456932,17360.73847,50364.5076,5
0.13,78.48006242,17359.72212,51174.2625,5
0.131,78.49554804,17358.58663,51874.8533,5
0.132,78.51083766,17357.35999,52479.5779,5
0.133,78.52574247,17356.07653,53022.3226,5
0.134,78.54007542,17354.76798,53503.9955,5
0.135,78.5536548,17353.45599,53873.5172,5
0.136,78.56630834,17352.15113,54069.8793,5
0.137,78.57787679,17350.85875,54075.0225,5
0.138,78.58821609,17349.58613,53915.4799,5
0.139,78.59719834,17348.3451,53621.3261,5
0.14,78.60471276,17347.14784,53205.6416,5
0.141,78.61066743,17345.99994,52690.1979,5
0.142,78.61499167,17344.8972,52127.8015,5
0.143,78.61763809,17343.82921,51571.9393,5
0.144,78.61858332,17342.78712,51025.0471,5
0.145,78.61782714,17341.76933,50441.0758,5
0.146,78.61539083,17340.78143,49793.9967,5
0.147,78.61131568,17339.83167,49131.1038,5
0.148,78.60566213,17338.92669,48539.6559,5
0.149,78.59850903,17338.07089,48066.7151,5
0.15,78.58995261,17337.26865,47692.5813,5
0.151,78.58010484,17336.52597,47386.5818,5
0.152,78.56909158,17335.8496,47166.3692,5
0.153,78.55705088,17335.2444,47077.6443,5
0.154,78.54413149,17334.7118,47123.1736,5
0.155,78.53049147,17334.25009,47243.4806,5
0.156,78.51629649,17333.85538,47383.4316,5
0.157,78.50171805,17333.52113,47559.3843,5
0.158,78.48693191,17333.23594,47835.5777,5
0.159,78.47211682,17332.98201,48236.7234,5
0.16,78.45745328,17332.73605,48706.5608,5
0.161,78.44312192,17332.47284,49161.7459,5
0.162,78.42930123,17332.16876,49566.3018,5
0.163,78.41616498,17331.80284,49932.5452,5
0.164,78.40387969,17331.35534,50261.4992,5
0.165,78.39260259,17330.80616,50516.7816,5
0.166,78.38247979,17330.1357,50670.2749,5
0.167,78.37364414,17329.32835,50748.1093,5
0.168,78.36621278,17328.37605,50800.2531,5
0.169,78.36028442,17327.27872,50826.6574,5
0.17,78.35593726,17326.04103,50762.947,5
0.171,78.35322785,17324.66793,50554.8586,5
0.172,78.35219084,17323.16228,50229.5205,5
0.173,78.35283917,17321.52637,49870.5412,5
0.174,78.35516401,17319.76537,49529.2184,5
0.175,78.35913446,17317.88948,49187.6289,5
0.176,78.36469754,17315.9122,48816.3622,5
0.177,78.37177899,17313.84591,48440.448,5
0.178,78.38028512,17311.69765,48119.0053,5
0.179,78.39010532,17309.46838,47868.0647,5
0.18,78.40111458,17307.1559,47639.5863,5
0.181,78.41317546,17304.75936,47393.6266,5
0.182,78.4261395,17302.28224,47167.8441,5
0.183,78.4398485,17299.73208,47045.1503,5
0.184,78.45413618,17297.11812,47056.1002,5
0.185,78.46883025,17294.44908,47143.3705,5
0.186,78.48375484,17291.73346,47236.6823,5
0.187,78.49873249,17288.98233,47338.3927,5
0.188,78.51358573,17286.21255,47506.2572,5
0.189,78.52785896,17283.47144,47759.5994,5
0.19,78.54149267,17280.79089,48039.5964,5
0.191,78.55432919,17278.19643,48280.7275,5
0.192,78.56672889,17275.65114,48496.3386,5
0.193,78.57818111,17273.21591,48759.3334,5
0.194,78.58854395,17270.91318,49098.4092,5
0.195,78.59768798,17268.76315,49445.8247,5
0.196,78.60549819,17266.78272,49707.2292,5
0.197,78.61187601,17264.98353,49863.6521,5
0.198,78.61674137,17263.37008,49976.212,5
0.199,78.62003473,17261.94015,50094.9147,5
0.2,78.6217183,17260.68909,50195.9692,5
0.201,78.62177596,17259.61754,50225.4151,5
0.202,78.62021137,17258.73911,50179.3103,5
0.203,78.61704514,17258.08208,50106.0592,5
0.204,78.61231229,17257.68102,50031.0868,5
0.205,78.60606192,17257.56026,49915.1533,5
0.206,78.59835955,17257.71897,49710.167,5
0.207,78.58929074,17258.12987,49437.5479,5
0.208,78.57896292,17258.75621,49178.352,5
0.209,78.56750315,17259.57687,48983.2922,5
0.21,78.555052,17260.60027,48821.2909,5
0.211,78.54175709,17261.85366,48634.3036,5
0.212,78.5277703,17263.35406,48422.8769,5
0.213,78.5132498,17265.08384,48246.9184,5
0.214,78.49836418,17266.99159,48144.0846,5
0.215,78.48329396,17269.0179,48081.1789,5
0.216,78.46822796,17271.1236,48006.5084,5
0.217,78.45335651,17273.29634,47929.4654,5
0.218,78.43886578,17275.53122,47914.1217,5
0.219,78.42493651,17277.80519,47991.9437,5
0.22,78.41174571,17280.07008,48112.4299,5
0.221,78.39946735,17282.27169,48201.4405,5
0.222,78.38826872,17284.37799,48250.6903,5
0.223,78.37830327,17286.39109,48318.8003,5
0.224,78.36970403,17288.3322,48443.7145,5
0.225,78.36258135,17290.21221,48586.7693,5
0.226,78.35702552,17292.01284,48684.6052,5
0.227,78.35311058,17293.69384,48735.991,5
0.228,78.35089524,17295.21975,48802.2754,5
0.229,78.3504192,17296.58459,48918.1645,5
0.23,78.35169729,17297.81531,49034.2221,5
0.231,78.35471536,17298.95264,49072.7273,5
0.232,78.35943071,17300.0248,49025.9308,5
0.233,78.36577673,17301.0334,48967.0138,5
0.234,78.37366828,17301.95978,48958.8233,5
0.235,78.38300507,17302.78435,48979.6233,5
0.236,78.39367181,17303.50306,48959.7975,5
0.237,78.40553679,17304.12985,48875.4624,5
0.238,78.41845155,17304.68602,48774.0736,5
0.239,78.4322528,17305.18695,48704.4766,5
0.24,78.4467663,17305.63722,48652.8435,5
0.241,78.46181061,17306.03681,48571.8261,5
0.242,78.47719938,17306.39185,48457.9673,5
0.243,78.4927421,17306.72047,48366.4345,5
0.244,78.50824477,17307.0489,48341.2493,5
0.245,78.52351188,17307.40091,48357.6545,5
0.246,78.53835012,17307.78934,48356.8782,5
0.247,78.55257275,17308.21645,48326.1556,5
0.248,78.56600301,17308.68318,48314.9094,5
0.249,78.57847542,17309.19993,48366.3159,5
0.25,78.58983564,17309.79039,48459.3614,5
0.251,78.59994045,17310.48472,48540.299,5
0.252,78.60865937,17311.30658,48597.8766,5
0.253,78.61587824,17312.26322,48676.5751,5
0.254,78.62150336,17313.34543,48809.0635,5
0.255,78.62546464,17314.53627,48962.1533,5
0.256,78.62771656,17315.82181,49072.972,5
0.257,78.62823735,17317.19613,49127.7606,5
0.258,78.62702766,17318.65909,49176.0778,5
